,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
8854,Massachusetts,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),41.6,Race/Ethnicity,Non-Hispanic Black
8855,Indiana,Percent of adults who engage in no leisure-time physical activity,31.2,Age (years),45 - 54
8856,Maine,Percent of adults aged 18 years and older who have obesity,36.5,Age (years),35 - 44
8857,Tennessee,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Asian
8858,Georgia,Percent of adults who report consuming vegetables less than one time daily,22.5,Income,Data not reported
8859,Tennessee,Percent of adults aged 18 years and older who have an overweight classification,32.9,Income,"$25,000 - $34,999"
8860,Virginia,Percent of adults who engage in no leisure-time physical activity,19.6,Education,Some college or technical school
8861,Arizona,Percent of adults aged 18 years and older who have obesity,31.4,Total,Total
8862,New Hampshire,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,44.3,Age (years),18 - 24
8863,Tennessee,Percent of adults who engage in no leisure-time physical activity,32.5,Income,"$25,000 - $34,999"
8864,Washington,Percent of adults who report consuming vegetables less than one time daily,17.4,Income,"$75,000 or greater"
8865,Montana,Percent of adults who report consuming fruit less than one time daily,42.1,Income,"$35,000 - $49,999"
8866,New Mexico,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.0,Income,"$25,000 - $34,999"
8867,Alaska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,28.2,Education,College graduate
8868,Louisiana,Percent of adults aged 18 years and older who have obesity,34.3,Race/Ethnicity,Non-Hispanic White
8869,Florida,Percent of adults aged 18 years and older who have obesity,29.1,Race/Ethnicity,2 or more races
8870,Maine,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Asian
8871,Virginia,Percent of adults aged 18 years and older who have an overweight classification,38.4,Education,College graduate
8872,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.1,Age (years),35 - 44
8873,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Other
8874,Virginia,Percent of adults aged 18 years and older who have an overweight classification,31.4,Gender,Female
8875,Illinois,Percent of adults aged 18 years and older who have an overweight classification,31.2,Income,"Less than $15,000"
8876,Iowa,Percent of adults aged 18 years and older who have an overweight classification,29.8,Gender,Female
8877,New York,Percent of adults aged 18 years and older who have an overweight classification,37.8,Income,"$75,000 or greater"
8878,Colorado,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Hawaiian/Pacific Islander
8879,Virginia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.9,Race/Ethnicity,Non-Hispanic White
8880,Vermont,Percent of adults who report consuming fruit less than one time daily,39.7,Education,High school graduate
8881,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,37.4,Income,"$35,000 - $49,999"
8882,Oklahoma,Percent of adults aged 18 years and older who have an overweight classification,29.7,Race/Ethnicity,American Indian/Alaska Native
8883,Arkansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.5,Race/Ethnicity,Non-Hispanic Black
8884,Rhode Island,Percent of adults aged 18 years and older who have obesity,24.2,Age (years),25 - 34
8885,California,Percent of adults aged 18 years and older who have obesity,24.5,Gender,Male
8886,Oregon,Percent of adults aged 18 years and older who have obesity,29.2,Race/Ethnicity,Non-Hispanic White
8887,New Jersey,Percent of adults who engage in no leisure-time physical activity,21.6,Race/Ethnicity,Other
8888,Mississippi,Percent of adults aged 18 years and older who have obesity,39.8,Age (years),55 - 64
8889,Illinois,Percent of adults who report consuming vegetables less than one time daily,24.5,Education,High school graduate
8890,Vermont,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),70.4,Education,College graduate
8891,North Carolina,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
8892,Rhode Island,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.8,Age (years),65 or older
8893,Minnesota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.6,Income,"$15,000 - $24,999"
8894,Colorado,Percent of adults who report consuming vegetables less than one time daily,17.2,Age (years),35 - 44
8895,Puerto Rico,Percent of adults who report consuming fruit less than one time daily,53.1,Income,"$15,000 - $24,999"
8896,New Hampshire,Percent of adults who report consuming fruit less than one time daily,30.4,Race/Ethnicity,Non-Hispanic White
8897,Nebraska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,34.8,Total,Total
8898,Missouri,Percent of adults who engage in no leisure-time physical activity,39.8,Education,Less than high school
8899,New Jersey,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),25.0,Race/Ethnicity,2 or more races
8900,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.6,Age (years),35 - 44
8901,Delaware,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,22.8,Age (years),65 or older
8902,Minnesota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,24.8,Income,"$25,000 - $34,999"
8903,Indiana,Percent of adults aged 18 years and older who have obesity,31.8,Age (years),25 - 34
8904,Rhode Island,Percent of adults aged 18 years and older who have obesity,30.0,Total,Total
8905,Rhode Island,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.3,Race/Ethnicity,Non-Hispanic White
8906,New Hampshire,Percent of adults aged 18 years and older who have an overweight classification,35.5,Race/Ethnicity,Hispanic
8907,Louisiana,Percent of adults who engage in no leisure-time physical activity,18.9,Education,College graduate
8908,New Mexico,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),35.9,Gender,Male
8909,Virginia,Percent of adults aged 18 years and older who have obesity,34.2,Total,Total
8910,Ohio,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.7,Race/Ethnicity,Non-Hispanic White
8911,Missouri,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
8912,Oklahoma,Percent of adults who report consuming vegetables less than one time daily,20.0,Age (years),65 or older
8913,New York,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Other
8914,National,Percent of adults aged 18 years and older who have an overweight classification,36.5,Income,"$50,000 - $74,999"
8915,Kentucky,Percent of adults aged 18 years and older who have obesity,18.5,Age (years),18 - 24
8916,Rhode Island,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.5,Age (years),45 - 54
8917,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),59.9,Race/Ethnicity,Hispanic
8918,Montana,Percent of adults aged 18 years and older who have obesity,23.6,Total,Total
8919,Rhode Island,Percent of adults aged 18 years and older who have obesity,31.1,Age (years),25 - 34
8920,North Carolina,Percent of adults who engage in no leisure-time physical activity,15.7,Income,"$75,000 or greater"
8921,Vermont,Percent of adults aged 18 years and older who have obesity,25.5,Age (years),65 or older
8922,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,34.2,Education,Some college or technical school
8923,Delaware,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,22.5,Income,"$35,000 - $49,999"
